時間,地點,濕度,溫度
2022-08-18 15:25:32,68%,24.5°C,泰格台北儲藏室
2022-08-18 15:25:40,86%,22.3°C,泰格台北機房
2022-08-18 15:26:39,68%,24.5°C,泰格台北儲藏室
2022-08-18 15:26:47,86%,22.3°C,泰格台北機房
2022-08-18 15:42:45,68%,24.6°C,泰格台北儲藏室
2022-08-18 15:42:53,88%,22.6°C,泰格台北機房
2022-08-18 16:14:39,69%,24.6°C,泰格台北儲藏室
2022-08-18 16:14:47,86%,22.6°C,泰格台北機房
2022-08-18 16:16:56,69%,24.6°C,泰格台北儲藏室
2022-08-18 16:17:04,86%,22.6°C,泰格台北機房
2022-08-18 16:19:12,69%,24.7°C,泰格台北儲藏室
2022-08-18 16:19:21,86%,22.6°C,泰格台北機房
2022-08-18 16:21:29,70%,24.7°C,泰格台北儲藏室
2022-08-18 16:21:38,86%,22.6°C,泰格台北機房
2022-08-18 16:23:46,69%,24.7°C,泰格台北儲藏室
2022-08-18 16:23:54,86%,22.6°C,泰格台北機房
2022-08-18 16:26:03,70%,24.6°C,泰格台北儲藏室
2022-08-18 16:26:11,87%,22.5°C,泰格台北機房
2022-08-18 16:28:19,70%,24.6°C,泰格台北儲藏室
2022-08-18 16:28:28,87%,22.5°C,泰格台北機房
